SRX212363	EPAS1	Blood	Macrophages	source_name=macrophage	donor=1	stress=Normoxy 20% O2	treatment=Interleukin-10										
SRX212364	EPAS1	Blood	Macrophages	source_name=macrophage	donor=2	stress=Normoxy 20% O2	treatment=Interleukin-10										
SRX212365	EPAS1	Blood	Macrophages	source_name=macrophage	donor=1	stress=Hypoxy 1% O2 4 hours	treatment=Interleukin-10										
SRX212366	EPAS1	Blood	Macrophages	source_name=macrophage	donor=2	stress=Hypoxy 1% O2 4 hours	treatment=Interleukin-10										
SRX212431	STAT5A	Blood	Treg	source_name=CD4+CD25+CD45RA+ expanded naive regulatory T cells	donor=S030b	cell type=CD4+CD25+CD45RA+ expanded naive regulatory T cells											
SRX212443	RUNX1	Blood	CD4+ T cells	source_name=CD4+CD25- expanded conventional T cells	donor=S030b	cell type=CD4+CD25- expanded conventional T cells											
SRX212444	RUNX1	Blood	CD4+ T cells	source_name=CD4+CD25- expanded conventional T cells	donor=G	cell type=CD4+CD25- expanded conventional T cells											
SRX212647	STAT1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml)											
SRX212648	STAT1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml) and IFN-gamma (100U/ml) for 24 hours.											
SRX212649	STAT1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml) and stimulated with LPS (50ng/ml) for 3 hours.											
SRX212650	STAT1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	"experimental condition=Cultured with MCSF (10ng/ml) and IFN-gamma (100U/ml) for 24 hours, stimulated with LPS (50ng/ml) for 3 hours."											
SRX212651	STAT1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml) and IFN-gamma (100U/ml) for 24 hours.											
SRX212652	STAT1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	"experimental condition=Cultured with MCSF (10ng/ml) and IFN-gamma (100U/ml) for 24 hours, stimulated with LPS (50ng/ml) for 3 hours."											
SRX212661	IRF1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml)											
SRX212662	IRF1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml) and IFN-gamma (100U/ml) for 24 hours.											
SRX212663	IRF1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	experimental condition=Cultured with MCSF (10ng/ml) and stimulated with LPS (50ng/ml) for 6 hours.											
SRX212664	IRF1	Blood	Monocytes-CD14+	source_name=Peripheral blood cells	cell type=CD14+ monocytes	"experimental condition=Cultured with MCSF (10ng/ml) and IFN-gamma (100U/ml) for 24 hours, stimulated with LPS (50ng/ml) for 6 hours."											
SRX2166889	BRD4	Neural	Retina	source_name=retina	disease state=retinoblastoma xenograft												
SRX2166890	CTCF	Neural	Retina	source_name=retina	age=fetal week 14												
SRX2166891	CTCF	Neural	Retina	source_name=retina	age=fetal week 16												
SRX2166892	CTCF	Neural	Retina	source_name=retina	age=fetal week 18												
SRX2166893	CTCF	Neural	Retina	source_name=retina	age=fetal week 23												
SRX2166894	CTCF	Neural	Retina	source_name=retina	disease state=retinoblastoma xenograft												
SRX2166895	CTCF	Neural	Retina	source_name=retina	disease state=retinoblastoma xenograft												
SRX22037065	RAD21	Blood	Erythroid Cells	source_name=Erythroid	donor id=Don001	cell type=Erythroid	origin cell_line=E14TG2a.IV mouse ES cells	strain=129/Ola	differentiation day=Day 7								
SRX22037066	RAD21	Blood	Erythroid Cells	source_name=Erythroid	donor id=Don002	cell type=Erythroid	origin cell_line=E14TG2a.IV mouse ES cells	strain=129/Ola	differentiation day=Day 7								
SRX22037067	RAD21	Blood	Erythroid Cells	source_name=Erythroid	donor id=Don030	cell type=Erythroid	origin cell_line=E14TG2a.IV mouse ES cells	strain=129/Ola	differentiation day=Day 7								
SRX22037076	CTCF	Blood	Erythroid Cells	source_name=Erythroid	donor id=Don001	cell type=Erythroid	origin cell_line=CD34+ human erythroid	differentiation day=Day 13									
SRX22037077	CTCF	Blood	Erythroid Cells	source_name=Erythroid	donor id=Don002	cell type=Erythroid	origin cell_line=CD34+ human erythroid	differentiation day=Day 13									
SRX22037078	CTCF	Blood	Erythroid Cells	source_name=Erythroid	donor id=Don030	cell type=Erythroid	origin cell_line=CD34+ human erythroid	differentiation day=Day 13									
SRX2253219	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p1	patient age=71	patient sex=Male	disease level=Binet B	activation=CD74	cell type=B cells						
SRX2253220	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p1	patient age=71	patient sex=Male	disease level=Binet B	activation=CD74	cell type=B cells						
SRX2253222	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p2	patient age=70	patient sex=Male	disease level=Binet B	activation=CD74	cell type=B cells						
SRX2253223	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p2	patient age=70	patient sex=Male	disease level=Binet B	activation=CD74	cell type=B cells						
SRX2253225	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p4	patient age=75	patient sex=Male	disease level=Binet B	activation=CD74	cell type=B cells						
SRX2253226	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p4	patient age=75	patient sex=Male	disease level=Binet B	activation=CD74	cell type=B cells						
SRX2253228	CD74	Blood	B cells	source_name=Cll cells	diagnosis=CLL	patient number=p3	patient age=57	patient sex=Female	disease level=Binet A	activation=CD74	cell type=B cells						
SRX2254717	TRF2	Muscle	Myotube	source_name=Post-mitotic differentiated muscle cells - MYOTUBES	cell type=Post-mitotic differentiated muscle cells (myotubes)	origin=Muscle biopsy - deltoid	viral transduction=sh TRF2										
SRX2254718	TRF2	Muscle	Myotube	source_name=Post-mitotic differentiated muscle cells - MYOTUBES	cell type=Post-mitotic differentiated muscle cells (myotubes)	origin=Muscle biopsy - deltoid	viral transduction=pWPIR-TRF2-IRES-GFP										
SRX2254719	TRF2	Muscle	Myotube	source_name=Post-mitotic differentiated muscle cells - MYOTUBES	cell type=Post-mitotic differentiated muscle cells (myotubes)	origin=Muscle biopsy - deltoid	viral transduction=pWPIR-IRES-GFP										
SRX2268290	CHD1	Others	Mesenchymal stem cells	source_name=Bone marrow derived mesenchymal stem cells	differentiation-induction=Adipocyte differentiation												
SRX2268291	CHD1	Others	Mesenchymal stem cells	source_name=Bone marrow derived mesenchymal stem cells	differentiation-induction=Osteoblast differentiation												
SRX2268292	CHD1	Bone	Osteoblasts	source_name=Fetal osteoblast	differentiation-induction=Undifferentiated												
SRX2281260	KMT2A	Blood	Bone marrow mononuclear cells	source_name=Fetal bone marrow	cell type=Mononuclear cells from second trimester human fetal bone marrow												
SRX23045263	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts	cell type=Human dermal fibroblasts	treatment=TGFb											
SRX23045264	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts	cell type=Human dermal fibroblasts	treatment=TGFb											
SRX23045265	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts	cell type=Human dermal fibroblasts	treatment=TGFb											
SRX23045266	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts	cell type=Human dermal fibroblasts	treatment=TGFb+Adropin34-76											
SRX23045267	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts	cell type=Human dermal fibroblasts	treatment=TGFb+Adropin34-76											
SRX23045268	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts	cell type=Human dermal fibroblasts	treatment=TGFb+Adropin34-76											
SRX2343922	NOTCH1	Cardiovascular	Large pulmonary artery endothelial cells	source_name=Large pulmonary artery endothelial cells	tissue=Large pulmonary artery endothelial cells	passages=7											
SRX2343923	NOTCH1	Cardiovascular	Large pulmonary artery endothelial cells	source_name=Large pulmonary artery endothelial cells	tissue=Large pulmonary artery endothelial cells	passages=7											
SRX2343924	NOTCH1	Cardiovascular	Large pulmonary artery endothelial cells	source_name=Large pulmonary artery endothelial cells	tissue=Large pulmonary artery endothelial cells	passages=7											
SRX2343925	NOTCH1	Cardiovascular	Large pulmonary artery endothelial cells	source_name=Large pulmonary artery endothelial cells	tissue=Large pulmonary artery endothelial cells	passages=7											
SRX2343934	EP300	Cardiovascular	Large pulmonary artery endothelial cells	source_name=Large pulmonary artery endothelial cells	tissue=Large pulmonary artery endothelial cells	passages=6											
SRX2343935	EP300	Cardiovascular	Large pulmonary artery endothelial cells	source_name=Large pulmonary artery endothelial cells	tissue=Large pulmonary artery endothelial cells	passages=6											
SRX23548770	TP53	Cardiovascular	Vascular smooth muscle cells	source_name=vascular smooth muscle cell	cell type=vascular smooth muscle cell	genotype=miR-1204 overexpression											
SRX2367969	SP140	Blood	Macrophages	source_name=primary human macrophages	cell type=macrophage	"lps treatment=LPS treated, 100ng/mL, 4h"											
SRX237289	INO80	Blood	CD4+ T cells	source_name=CD4+ T cells activated by IL-2+aCD3+aCD28	cell type=CD4+ T cells												
SRX237290	SRCAP	Blood	CD4+ T cells	source_name=CD4+ T cells activated by IL-2+aCD3+aCD28	cell type=CD4+ T cells												
SRX2388757	AR	Muscle	Myofibroblasts	source_name=Myofibroblast cell line	cell type=Myofibroblast cell line that overexpresses AR	passages=P5-P7											
SRX24330007	MYC	Blood	Macrophages	source_name=Spleen	tissue=Spleen	cell line=CD11b+cells	cell type=macrophage	condition=Spleen-injury									
SRX24330009	MYC	Blood	Macrophages	source_name=Spleen	tissue=Spleen	cell line=CD11b+cells	cell type=macrophage	condition=Portal hypertension combined with hypersplenism (PHcH)									
SRX244128	TAL1	Cardiovascular	Primary endothelial cells	source_name=Human primary endothelial colony-forming cells													
SRX24545851	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with control plasmid (pcDNA)											
SRX24545853	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with Heat4-encoding plasmid + IL-10 treatment											
SRX24545855	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with control plasmid (pcDNA)											
SRX24545857	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with Heat4-encoding plasmid + IL-10 treatment											
SRX24545858	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with control plasmid (pcDNA)											
SRX24545860	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with Heat4-encoding plasmid + IL-10 treatment											
SRX24545862	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with control plasmid (pcDNA)											
SRX24545864	S100A9	Blood	Monocytes	source_name=human primary monocytes (&gt; 90% puritiy)	cell type=human primary monocytes (&gt; 90% puritiy)	treatment=transfection with Heat4-encoding plasmid + IL-10 treatment											
SRX2464017	EP300	Blood	CD8+ T cells	"source_name=Naïve CD8+ T cells, triggered through CD3/CD28 signaling for 4 hr"	tissue=Peripheral Blood	cell type=Naive CD8+ T cells	cell markers=CD3+CD8+CD4-CD45RO-CD27+										
SRX2464018	EP300	Blood	CD8+ T cells	"source_name=Memory CD8+ T cells, triggered through CD3/CD28 signaling for 4 hr"	tissue=Peripheral Blood	cell type=Memory CD8+ T cells	cell markers=CD3+CD8+CD4-CD45RO+										
SRX2481499	GATA1	Blood	Erythroid Precursor Cells	source_name=Erythroid precursor cells	tissue=peripheral blood	cell type=CD34+ HSPC derived erythroid precursors	culture days=6 days expansion followed by 6 days differentiation										
SRX25037647	ZMYND8	Neural	Neural progenitor cells	source_name=NPC	cell line=NPC	cell type=neuronal progenitor cell differentated from pluripotent stem cells	genotype=wt	treatment=No treatment									
SRX25331425	MYCN	Neural	Brain	source_name=Brain	tissue=Brain	cell line=ICR_CXJ_046	genotype=DHG-G34										
SRX25501804	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-2	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501807	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-1	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501808	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-1	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501811	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-1	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501812	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-1	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501815	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-2	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501818	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-2	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX25501819	LMNA	Epidermis	Dermal fibroblast	source_name=skin	tissue=skin	cell line=HDF-2	cell type=Human dermal fibroblasts	treatment=With AR silencing									
SRX256993	NR3C1	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111174	cell type=LCL												
SRX256994	NR3C1	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111175	cell type=LCL												
SRX256995	NR3C1	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111176	cell type=LCL												
SRX256996	NR3C1	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111177	cell type=LCL												
SRX256997	RELA	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111178	cell type=LCL												
SRX256998	RELA	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111179	cell type=LCL												
SRX256999	RELA	Blood	Lymphoblastoid cell line	GEO Accession=GSM1111180	cell type=LCL												
SRX2614800	DNMT3B	Blood	Lymphoblastoid cell line	source_name=B-LCL_Ctrl1	cell type=cell line	genotype=DNMT3Bwt/wt											
SRX2614801	DNMT3B	Blood	Lymphoblastoid cell line	source_name=B-LCL_Ctrl2	cell type=cell line	genotype=DNMT3BA603T/wt											
SRX2614802	DNMT3B	Blood	Lymphoblastoid cell line	source_name=B-LCL_ICF1p1	cell type=cell line	genotype=DNMT3BA603T/STP807ins											
SRX2614803	DNMT3B	Blood	Lymphoblastoid cell line	source_name=B-LCL_ICF1p2	cell type=cell line	genotype=DNMT3BV699G/R54X											
SRX2630137	GABPA	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2630138	GABPA	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2635806	NR2F2	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2635902	YY1	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2635903	YY1	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2635951	ATF3	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2635952	ATF3	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636083	HNF4A	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636084	HNF4A	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636234	FOXA1	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636235	FOXA1	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636352	JUND	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636353	JUND	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636404	SMARCA4	Neural	Bipolar spindle neurons	age=53 year	donor ID=ENCDO336AAA	dev stage=adult	sample type=in vitro differentiated cells	cell type=bipolar spindle neuron									
SRX2636405	SMARCA4	Neural	Bipolar spindle neurons	age=53 year	donor ID=ENCDO336AAA	dev stage=adult	sample type=in vitro differentiated cells	cell type=bipolar spindle neuron									
SRX2636488	RAD21	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2636489	RAD21	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX2671792	EP300	Cardiovascular	Cardiac progenitor cells	source_name=F1-CPCs	cell type=Cardiac progenitor cells (CPCs)	passage=P3-4											
SRX2671829	EP300	Cardiovascular	Cardiac progenitor cells	source_name=F2-CPCs	cell type=Cardiac progenitor cells (CPCs)	passage=P3-4											
SRX2731772	CTCF	Neural	Neuroblastoma	source_name=Neuroblastoma	cell line=SHEP-21N	input=SHEP21_0HR_INPUT	treatment=None	"growth protocol=10% Tet-Free FBS, RPMI"									
SRX2731775	CTCF	Neural	Neuroblastoma	source_name=Neuroblastoma	cell line=SHEP-21N	input=SHEP21_0HR_INPUT	treatment=None	"growth protocol=10% Tet-Free FBS, RPMI"									
SRX2731778	CTCF	Neural	Neuroblastoma	source_name=Neuroblastoma	cell line=SHEP-21N	input=SHEP21_24HR_INPUT	treatment=0.2 ug/mL DOX for 24HR	"growth protocol=10% Tet-Free FBS, RPMI"									
SRX2731783	MYCN	Neural	Neuroblastoma	source_name=Neuroblastoma	cell line=SHEP with tetracycline inducible MYCN	input=SHEP_INPUT	treatment=0.2ug/ml doxycycline	"growth protocol=10% Tet-Free FBS, RPMI"									
SRX2731786	MYCN	Neural	Neuroblastoma	source_name=Neuroblastoma	cell line=SHEP with tetracycline inducible MYCN	input=SHEP_INPUT	treatment=0.2ug/ml doxycycline	"growth protocol=10% Tet-Free FBS, RPMI"									
SRX2731789	MYCN	Neural	Neuroblastoma	source_name=Neuroblastoma	cell line=SHEP with tetracycline inducible MYCN	input=SHEP_INPUT	treatment=0.2ug/ml doxycycline	"growth protocol=10% Tet-Free FBS, RPMI"									
SRX2765967	HMGB2	Lung	Lung fibroblasts	source_name=fetal lung fibroblast cells	cell type=fetal lung fibroblast cells	donor=single donor	genotype=WT	treatment=proliferating									
SRX2765968	HMGB2	Lung	Lung fibroblasts	source_name=fetal lung fibroblast cells	cell type=fetal lung fibroblast cells	donor=single donor	genotype=WT	treatment=senescent									
SRX2770844	CEBPB	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, IFN-γ, C/EBPB ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=IFN-gamma									
SRX2770845	CEBPB	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, IFN-γ, C/EBPB ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=IFN-gamma									
SRX2770850	MAF	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, IFN-γ, MAF ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=IFN-gamma									
SRX2770854	SPI1	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, IFN-γ, PU.1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=IFN-gamma									
SRX2770855	SPI1	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, IFN-γ, PU.1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=IFN-gamma									
SRX2770858	SMC1A	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, IFN-γ, SMC1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=IFN-gamma									
SRX2778382	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL1_AB_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778383	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL2_BH_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778384	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL3_JD_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778385	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL4_PK_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778386	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL5_JL_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778387	YY1	Blood	Lymphoblastoid cell line	source_name=HEP10_01008_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1-mutated (p.Asp380Tyr)											
SRX2778388	YY1	Blood	Lymphoblastoid cell line	source_name=HEP14_00120_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1-mutated (p.Lys179*)											
SRX2778389	YY1	Blood	Lymphoblastoid cell line	source_name=HEP14_0079_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1 hemizygous deletion											
SRX2778390	YY1	Blood	Lymphoblastoid cell line	source_name=HEP14_0080_YY11	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1-mutated (p.Leu366Pro)											
SRX2778391	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL1_AB_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778392	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL2_BH_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778393	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL3_JD_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778394	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL4_PK_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778395	YY1	Blood	Lymphoblastoid cell line	source_name=CTRL5_JL_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=control											
SRX2778396	YY1	Blood	Lymphoblastoid cell line	source_name=HEP10_01008_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1-mutated (p.Asp380Tyr)											
SRX2778397	YY1	Blood	Lymphoblastoid cell line	source_name=HEP14_00120_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1-mutated (p.Lys179*)											
SRX2778398	YY1	Blood	Lymphoblastoid cell line	source_name=HEP14_0079_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1 hemizygous deletion											
SRX2778399	YY1	Blood	Lymphoblastoid cell line	source_name=HEP14_0080_YY12	cell type=Immortalized lymphoblastoid cell line (LC)	genotype/variation=YY1-mutated (p.Leu366Pro)											
SRX278504	TP53	Blood	Lymphoblastoid cells	source_name=lymphoblastoid cells	cell type=nutlin-3 treated lymphoblastoid cells	coriell id=GM12878											
SRX278506	TP53	Blood	Lymphoblastoid cells	source_name=lymphoblastoid cells	treatment=Doxo treated lymphoblastoid cells	coriell id=GM06993 and GM11992											
SRX278507	TP53	Blood	Lymphoblastoid cells	source_name=lymphoblastoid cells	treatment=vehicle treated lymphoblastoid cells	coriell id=GM06993 and GM11992											
SRX278510	TP53	Blood	Lymphoblastoid cells	source_name=lymphoblastoid cells	cell type=IR treated lymphoblastoid cells	coriell id=GM12878											
SRX2821738	FOSL1	Blood	CD4+ T cells	source_name=blood	tissue=blood	cell type=CD4+ T cells	treatment=stimulated	fixation=fixed									
SRX2821739	FOSL1	Blood	CD4+ T cells	source_name=blood	tissue=blood	cell type=CD4+ T cells	treatment=stimulated	fixation=fixed									
SRX286018	SPI1	Blood	Macrophages	source_name=peripheral blood	cell type=monocyte derived macrophages	initial differentiation=GM-CSF	"activation stimuli=IFNg, 72h"										
SRX286019	SPI1	Blood	Macrophages	source_name=peripheral blood	cell type=monocyte derived macrophages	initial differentiation=GM-CSF	"activation stimuli=IL4, 72h"										
SRX2867628	BRD4	Blood	Lymphoblastoid cell line	source_name=GM15850 LCLs (FRDA)	cell line=GM15850 LCLs (FRDA)	treatment=1000nM PA1+JQ1	treatment time=24 h										
SRX2867629	BRD4	Blood	Lymphoblastoid cell line	source_name=GM15850 LCLs (FRDA)	cell line=GM15850 LCLs (FRDA)	treatment=1000nM Syn-TEF1	treatment time=24 h										
SRX2867630	BRD4	Blood	Lymphoblastoid cell line	source_name=GM15850 LCLs (FRDA)	cell line=GM15850 LCLs (FRDA)	treatment=0.1% DMSO	treatment time=24 h										
SRX2966968	POU5F1	Gonad	Testis	source_name=Fetal testis	cell type=2nd trimester human fetal testis												
SRX2966969	POU5F1	Gonad	Testis	source_name=Fetal testis	cell type=2nd trimester human fetal testis												
SRX2966972	PAX5	Gonad	Testis	source_name=Fetal testis	cell type=2nd trimester human fetal testis												
SRX2966973	PRDM1	Gonad	Testis	source_name=Fetal testis	cell type=2nd trimester human fetal testis												
SRX2990553	GLI1	Bone	Chondrosarcoma	source_name=chondrosarcoma	tissue=chondrosarcoma	culture=primary cells	treatment=Shh ligand	duration=48 hours									
SRX2990554	GLI2	Bone	Chondrosarcoma	source_name=chondrosarcoma	tissue=chondrosarcoma	culture=primary cells	treatment=Shh ligand	duration=48 hours									
SRX3010015	CTCF	Liver	Hepatocytes	age=5 day	donor ID=ENCDO222AAA	dev stage=embryonic	sample type=in vitro differentiated cells	cell type=hepatocyte	health state=healthy								
SRX3010016	CTCF	Liver	Hepatocytes	age=5 day	donor ID=ENCDO222AAA	dev stage=embryonic	sample type=in vitro differentiated cells	cell type=hepatocyte	health state=healthy								
SRX3010017	CTCF	Liver	Hepatocytes	age=5 day	donor ID=ENCDO222AAA	dev stage=embryonic	sample type=in vitro differentiated cells	cell type=hepatocyte	health state=healthy								
