DRX044425	CTCF	Blood	T cells	sample_name=003_ED_ChIP_CTCF_1	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 1
DRX044426	CTCF	Blood	T cells	sample_name=004_ED_ChIP_CTCF_2	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 2										
SRX2770847	CEBPB	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, untreated, C/EBPB ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=none									
SRX2770851	MAF	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, untreated, MAF ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=none									
SRX2770856	SPI1	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, untreated, PU.1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=none									
SRX2770857	SPI1	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, untreated, PU.1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=none									
SRX2770859	SMC1A	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, untreated, SMC1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=none									
SRX2770860	SMC1A	Blood	Macrophages	"source_name=Primary human monocyte-derived macrophages, untreated, SMC1 ChIP"	disease state=healthy	tissue=peripheral blood	cell type=primary human monocyte-derived macrophages	treatment=none									
SRX2791697	LMNA	Epidermis	Dermal fibroblast	"source_name=Skin fibroblasts with endogenous LMNA p.R482W mutation, lamin A/C ChIP"	cell type=skin fibroblast	passages=Cells in passages 5-8	differentiation stage=Cultured in proliferative state										
SRX2791698	LMNB1	Epidermis	Dermal fibroblast	"source_name=Skin fibroblasts with endogenous LMNA p.R482W mutation, lamin B1 ChIP"	cell type=skin fibroblast	passages=Cells in passages 5-8	differentiation stage=Cultured in proliferative state										
SRX2791699	LMNA	Epidermis	Dermal fibroblast	"source_name=Skin fibroblasts with endogenous LMNA p.R482W mutation, lamin A/C ChIP"	cell type=skin fibroblast	passages=Cells in passages 5-8	differentiation stage=Cultured in proliferative state										
SRX2791700	LMNB1	Epidermis	Dermal fibroblast	"source_name=Skin fibroblasts with endogenous LMNA p.R482W mutation, lamin B1 ChIP"	cell type=skin fibroblast	passages=Cells in passages 5-8	differentiation stage=Cultured in proliferative state										
SRX2821736	FOSL1	Blood	CD4+ T cells	source_name=blood	tissue=blood	cell type=CD4+ T cells	treatment=resting	fixation=fixed									
SRX2821737	FOSL1	Blood	CD4+ T cells	source_name=blood	tissue=blood	cell type=CD4+ T cells	treatment=resting	fixation=fixed									
SRX285599	NOTCH1	Cardiovascular	Aortic valve endothelial cells	source_name=aortic valve endothelial cells	cell type=Primary aortic valve endothelial cells	passage=p8											
SRX2941475	PBXIP1	Bone	Chondrocytes	source_name=Cartilage	cell type=Chondrocytes	passages=Primary											
SRX2941476	PBXIP1	Bone	Chondrocytes	source_name=Cartilage	cell type=Chondrocytes	passages=Primary											
SRX2993407	HIF1A	Kidney	Renal tubular cells	source_name=Renal tubular cells	cell type=renal tubular cells	passages=4											
SRX2993408	ARNT	Kidney	Renal tubular cells	source_name=Renal tubular cells	cell type=renal tubular cells	passages=4											
SRX3010219	CTCF	Blood	Neutrophils	dev stage=unknown	cell type=neutrophil	sample type=primary cell	donor ID=ENCDO055UKA	age=unknown									
SRX3010220	CTCF	Blood	Neutrophils	dev stage=unknown	cell type=neutrophil	sample type=primary cell	donor ID=ENCDO055UKA	age=unknown									
SRX3040156	STAG1	Cardiovascular	Coronary artery endothelial cells	source_name=Human Coronary Artery Endothelial Cells (HCAEC)	cell type=Primary cells	experiment=ChIP-SEQ	catalogue number=Lonza CC-2585	passages=less than 10									
SRX3040157	STAG2	Cardiovascular	Coronary artery endothelial cells	source_name=Human Coronary Artery Endothelial Cells (HCAEC)	cell type=Primary cells	experiment=ChIP-SEQ	catalogue number=Lonza CC-2585	passages=less than 10									
SRX3040158	SMC1A	Cardiovascular	Coronary artery endothelial cells	source_name=Human Coronary Artery Endothelial Cells (HCAEC)	cell type=Primary cells	experiment=ChIP-SEQ	catalogue number=Lonza CC-2585	passages=less than 10									
SRX3056628	CTCF	Blood	Erythroblasts	source_name=Adult erythroblasts_CTCF_ChIP	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation stage=Day 11										
SRX3056629	CTCF	Blood	Erythroblasts	source_name=Adult erythroblasts_CTCF_ChIP	tissue=Adult peripheral blood	cell type=CD34+ derived erythroblasts	differentiation stage=Day 11										
SRX3083284	BACH2	Blood	B cells	source_name=B cells	cell type=Activated B cells	passages=Primary Cells											
SRX3089967	NCOA4	Blood	Erythroblasts	source_name=erythroblasts	cell type=erythroblasts												
SRX3089968	NCOA4	Blood	Erythroblasts	source_name=erythroblasts	cell type=erythroblasts												
SRX3100755	RBPJ	Epidermis	Keratinocytes	source_name=HKC													
SRX3195440	MLLT3	Blood	CD34+ cells	source_name=FLAG MLL-AF9 ChIPseq	cell type=human CD34+	genotype=control untreated											
SRX323565	ASCL1	Epidermis	Dermal fibroblast	source_name=human dermal fibroblasts	cell type=human dermal fibroblasts	strain=C57BL/6											
SRX3244991	SPI1	Blood	Macrophages	source_name=Primary human monocyte-derived macrophages	tissue=peripheral blood	cell type=monocytes											
SRX3244992	CEBPB	Blood	Macrophages	source_name=Primary human monocyte-derived macrophages	tissue=peripheral blood	cell type=monocytes											
SRX3244993	CEBPB	Blood	Macrophages	source_name=Primary human monocyte-derived macrophages	tissue=peripheral blood	cell type=monocytes											
SRX3321879	FOXA2	Liver	Liver	age=4 year	dev stage=child	donor ID=ENCDO882MMZ	tissue=liver	health state=healthy	sample type=tissue								
SRX3321880	FOXA2	Liver	Liver	age=4 year	dev stage=child	donor ID=ENCDO882MMZ	tissue=liver	health state=healthy	sample type=tissue								
SRX3321881	EP300	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3321891	CTCF	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3321901	CTCF	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3321908	CTCF	Others	Spleen	tissue=spleen	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3321933	CTCF	Epidermis	Suprapubic skin	tissue=suprapubic skin	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3321947	EP300	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3321989	CTCF	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3321997	CTCF	Adipocyte	"Colon, Transverse"	tissue=transverse colon	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3321998	EP300	Adipocyte	Subcutaneous adipose tissue	tissue=subcutaneous adipose tissue	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322012	EP300	Gonad	Ovary	tissue=ovary	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322024	CTCF	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322044	CTCF	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322054	EP300	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322055	CTCF	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322060	EP300	Adipocyte	Subcutaneous adipose tissue	tissue=subcutaneous adipose tissue	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322066	EP300	Gonad	Testis	tissue=testis	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322071	CTCF	Others	Spleen	tissue=spleen	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322085	CTCF	Digestive tract	Gastroesophageal sphincter	tissue=gastroesophageal sphincter	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322091	CTCF	Others	Adrenal Glands	tissue=adrenal gland	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322103	CTCF	Prostate	Prostate epithelial cells	cell type=epithelial cell of prostate	sample_type=primary cell	age=unknown	donor ID=ENCDO569WSJ	dev_stage=unknown									
SRX3322104	CTCF	Prostate	Prostate epithelial cells	cell type=epithelial cell of prostate	sample_type=primary cell	age=unknown	donor ID=ENCDO569WSJ	dev_stage=unknown									
SRX3322106	EP300	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322116	CTCF	Epidermis	Leg skin	tissue=lower leg skin	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322140	EP300	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322177	EP300	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322185	HNF4G	Liver	Liver	age=4 year	dev stage=child	donor ID=ENCDO882MMZ	tissue=liver	health state=healthy	sample type=tissue								
SRX3322192	EP300	Epidermis	Suprapubic skin	tissue=suprapubic skin	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322196	EP300	Breast	Breast epithelium	tissue=breast epithelium	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322208	CTCF	Breast	Breast epithelium	tissue=breast epithelium	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322222	CTCF	Uterus	Vagina	tissue=vagina	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322234	FOXA2	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX3322246	EP300	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322272	CTCF	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322276	CTCF	Blood	Peyers Patches	tissue=Peyer's patch	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322281	CTCF	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322290	CTCF	Muscle	Gastrocnemius medialis	tissue=gastrocnemius medialis	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322293	EP300	Adipocyte	"Colon, Transverse"	tissue=transverse colon	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322306	CTCF	Muscle	Gastrocnemius medialis	tissue=gastrocnemius medialis	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322320	CTCF	Epidermis	Leg skin	tissue=lower leg skin	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322325	CTCF	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322334	EP300	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322337	CTCF	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322349	CTCF	Neural	Tibial Nerve	tissue=tibial nerve	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322356	EP300	Breast	Breast epithelium	tissue=breast epithelium	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322380	EP300	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322381	CTCF	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322404	CTCF	Uterus	Vagina	tissue=vagina	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322426	CTCF	Digestive tract	Gastroesophageal sphincter	tissue=gastroesophageal sphincter	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322431	CTCF	Others	Adrenal Glands	tissue=adrenal gland	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322437	CTCF	Breast	Breast epithelium	tissue=breast epithelium	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322443	CTCF	Blood	Peyers Patches	tissue=Peyer's patch	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322453	CTCF	Digestive tract	Esophagus squamous epithelium	tissue=esophagus squamous epithelium	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322475	CTCF	Blood	Peyers Patches	tissue=Peyer's patch	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322476	CTCF	Uterus	Uterus	tissue=uterus	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322541	EP300	Breast	Breast epithelium	tissue=breast epithelium	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322544	EP300	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322553	EP300	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322563	CTCF	Neural	Tibial Nerve	tissue=tibial nerve	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322574	CTCF	Others	Spleen	tissue=spleen	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322577	CTCF	Others	Spleen	tissue=spleen	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322581	CTCF	Gonad	Ovary	tissue=ovary	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322587	EP300	Gonad	Ovary	tissue=ovary	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322590	CTCF	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322593	CTCF	Breast	Breast epithelium	tissue=breast epithelium	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322596	CTCF	Cardiovascular	Tibial Arteries	tissue=tibial artery	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322605	EP300	Digestive tract	Gastroesophageal sphincter	tissue=gastroesophageal sphincter	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322609	CTCF	Adipocyte	"Colon, Transverse"	tissue=transverse colon	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322613	CTCF	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322628	EP300	Neural	Tibial Nerve	tissue=tibial nerve	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322641	CTCF	Others	Thyroid Gland	tissue=thyroid gland	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322649	EP300	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322659	EP300	Neural	Tibial Nerve	tissue=tibial nerve	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322668	CTCF	Epidermis	Leg skin	tissue=lower leg skin	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322694	EP300	Adipocyte	"Colon, Transverse"	tissue=transverse colon	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322704	EP300	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322719	CTCF	Liver	Liver	tissue=right lobe of liver	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322725	EP300	Prostate	Prostate gland	tissue=prostate gland	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322745	CTCF	Prostate	Prostate gland	tissue=prostate gland	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322750	CTCF	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322766	EP300	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322772	CTCF	Epidermis	Leg skin	tissue=lower leg skin	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322785	CTCF	Neural	Tibial Nerve	tissue=tibial nerve	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322792	CTCF	Digestive tract	"Colon, Sigmoid"	tissue=sigmoid colon	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322802	EP300	Epidermis	Suprapubic skin	tissue=suprapubic skin	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322851	CTCF	Cardiovascular	Aorta	tissue=ascending aorta	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322854	EP300	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322855	CTCF	Adipocyte	"Colon, Transverse"	tissue=transverse colon	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322861	CTCF	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322864	CTCF	Digestive tract	Esophagus squamous epithelium	tissue=esophagus squamous epithelium	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322904	EP300	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3322906	CTCF	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322907	CTCF	Others	Thyroid Gland	tissue=thyroid gland	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322941	CTCF	Epidermis	Suprapubic skin	tissue=suprapubic skin	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322952	EP300	Adipocyte	Subcutaneous adipose tissue	tissue=subcutaneous adipose tissue	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322953	EP300	Adipocyte	Subcutaneous adipose tissue	tissue=subcutaneous adipose tissue	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3322954	EP300	Adipocyte	"Colon, Transverse"	tissue=transverse colon	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322962	CTCF	Adipocyte	Subcutaneous adipose tissue	tissue=subcutaneous adipose tissue	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322964	CTCF	Lung	Lung	tissue=upper lobe of left lung	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322975	CTCF	Gonad	Testis	tissue=testis	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322996	CTCF	Others	Adrenal Glands	tissue=adrenal gland	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3322998	EP300	Epidermis	Suprapubic skin	tissue=suprapubic skin	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3322999	CTCF	Digestive tract	Esophagus squamous epithelium	tissue=esophagus squamous epithelium	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3323006	CTCF	Muscle	Gastrocnemius medialis	tissue=gastrocnemius medialis	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3323014	EP300	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3323016	CTCF	Digestive tract	Stomach	tissue=stomach	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3323031	REST	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX3323032	REST	Liver	Liver	tissue=liver	age=32 year	donor ID=ENCDO060AAA	dev stage=adult	sample type=tissue	health state=healthy with non-obstructive CAD (coronary artery disease)								
SRX3323044	EP300	Adipocyte	Omental fat pad	tissue=omental fat pad	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3323045	EP300	Uterus	Vagina	tissue=vagina	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB	dev_stage=adult									
SRX3323072	EP300	Digestive tract	Esophagus muscularis mucosa	tissue=esophagus muscularis mucosa	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3323073	CTCF	Adipocyte	Subcutaneous adipose tissue	tissue=subcutaneous adipose tissue	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3323076	CTCF	Uterus	Uterus	tissue=uterus	sample_type=tissue	age=51 year	donor ID=ENCDO271OUW	dev_stage=adult									
SRX3323079	CTCF	Blood	Peyers Patches	tissue=Peyer's patch	sample_type=tissue	age=54 year	donor ID=ENCDO451RUA	dev_stage=adult									
SRX3323081	REST	Liver	Liver	age=4 year	dev stage=child	donor ID=ENCDO882MMZ	tissue=liver	health state=healthy	sample type=tissue								
SRX3323082	REST	Liver	Liver	age=4 year	dev stage=child	donor ID=ENCDO882MMZ	tissue=liver	health state=healthy	sample type=tissue								
SRX3323095	CTCF	Others	Adrenal Glands	tissue=adrenal gland	sample_type=tissue	age=37 year	donor ID=ENCDO845WKR	dev_stage=adult									
SRX3367137	BRD2	Epidermis	Foreskin	source_name=Foreskin	"cell type=foreskin, NHM1"	passage=8	"antibodies=BRD2 (Bethyl Laboratories, A302-583A)"										
SRX3367138	BRD4	Epidermis	Foreskin	source_name=Foreskin	"cell type=foreskin, NHM1"	passage=8	"antibodies=BRD4 (Bethyl Laboratories, A301-985A)"										
SRX338978	ERCC6	Others	Fibroblasts	source_name=CSB CHIP	cell type=fibroblast												
SRX3408800	CTCF	Blood	CD34 Hematopoietic stem cells	source_name=Human CD34+ HSPCs	tissue=Cord Blood	cell type=CD34+ hematopoietic stem cells (HSPCs)	input=CD34_CTCF_INPUT										
SRX3421794	AR	Epidermis	Dermal fibroblast	source_name=human dermal fibroblasts (HDFs)	cell type=dermal fibroblast												
SRX346921	MITF	Epidermis	Melanocytes	source_name=Primary human melanocytes infected with a lentivirus for RFP (control)	cell type=Primary Melanocyte	genotype/variation=control (lentiviral RFP )	braf signaling status=OFF										
SRX3503584	GATA2	Uterus	Endometrial stromal cells	source_name=Endometrial biopsy from healthy women	gender=female	cell type=Primary endometrial stromal cells	passage=3-5										
SRX3511909	YAP1	Epidermis	Dermal fibroblast	source_name=HDF	cell type=Dermal fibroblast (LONZA CC-2511)	passage=Passage 9	treatment=control										
SRX3511910	YAP1	Epidermis	Dermal fibroblast	source_name=HDF	cell type=Dermal fibroblast (LONZA CC-2511)	passage=Passage 9	treatment=control										
SRX3545884	SMARCC1	Blood	Peripheral blood mononuclear cells	source_name=Normal peripheral blood nuclear cells	tissue=Peripheral blood												
SRX3584192	AR	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584193	AR	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584194	AR	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584195	AR	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584196	RUNX1	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584197	RUNX1	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584198	RUNX1	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584199	RUNX1	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584200	CEBPB	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584201	CEBPB	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584202	CEBPB	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3584203	CEBPB	Gonad	Epididymis	source_name=Epididymis	cell type=Primary human epididymis cells												
SRX3586325	NR3C1	Blood	Monocytes	source_name=Adult Human Peripheral Blood	tissue=Adult Human Peripheral Blood	cell type=Monocytes	donor=Buffycoat 12										
SRX3586326	NR3C1	Blood	Monocytes	source_name=Adult Human Peripheral Blood	tissue=Adult Human Peripheral Blood	cell type=Monocytes	donor=Buffycoat 33										
SRX3586327	NR3C1	Blood	Monocytes	source_name=Adult Human Peripheral Blood	tissue=Adult Human Peripheral Blood	cell type=Monocytes	donor=Buffycoat 12										
SRX3586328	NR3C1	Blood	Monocytes	source_name=Adult Human Peripheral Blood	tissue=Adult Human Peripheral Blood	cell type=Monocytes	donor=Buffycoat 33										
SRX3586329	NR3C1	Blood	Macrophages	source_name=Adult Human Peripheral Blood	tissue=Adult Human Peripheral Blood	cell type=Macrophages	donor=Buffycoat 11										
SRX3586330	NR3C1	Blood	Macrophages	source_name=Adult Human Peripheral Blood	tissue=Adult Human Peripheral Blood	cell type=Macrophages	donor=Buffycoat 11										
