Experiment,source_name,tissue,chip_antibody,Library Name,cell_type,cell_line,Individual,isolate,AGE,genotype,Experimental_Factor:_immunoprecipitate (exp),Developmental_stage,Organism_part,disease,sample_type,Experimental_Factor:_compound (exp),donor_id,metastatic_site,dev_stage,health_state,treatment,disease_stage,Source,Experimental_Factor:_dose (exp),disease_state,hbv_genotype,antibody,ChIP,chip_antibody_vendor,replicate,genotype/variation,agent,genotype/antibody,Sample_id,strain,cell_description,infection,controlid,datatype_description,datatype,treatment_description,vendor,tissue_type,read_name_barcode_proc_directive (run),antibody_antibodydescription,antibody_targetdescription,antibody_vendorid,antibody_vendorname,labexpid,Protocol_description,protocol,cell_lineage,cell_sex,replicate_description,bio_material,Development_stage,cell_karyotype,developmental_stage/tissue,tranduced_with,treated_with,Experimental_Factor:_genotype (exp),cell_organism,cell,chip_target,Experimental_Factor:_sex (exp),replication,target,Experimental_Factor:_cell_line (exp),chip-antibody,clinical_history,Experimental_Factor:_cell_type (exp),geographic_location_(country_and/or_sea),softwareversion,specimen_with_known_storage_state,treatment/condition,tumor_stage,tumour_stage,type,Experimental_Factor:_OrganismPart (exp),lab_description,actual_read_length (run),affectedstatus,Experimental_Factor:_KNOCK_DOWN (exp),tag,antibodies,catalog_number,chip_antibody_catalog,chip_antibody_provider,Experimental_Factor:_developmental_stage (exp)
ERX004454,,,,Rad21_liver_ab992_hsaHepG2CRI 1,,HEPG2,,,,,Rad21,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004450,,,,Rad21_liver_ab992_hsaHepG2CRI 2,,HEPG2,,,,,Rad21,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004460,,,,CTCF_liver_07729upstate_hsaHepG2CRI 1,,HEPG2,,,,,CTCF,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004456,,,,CTCF_liver_07729upstate_hsaHepG2CRI 2,,HEPG2,,,,,CTCF,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004459,,,,CEBPA_liver_sc9314_hsaHepG2CRI 1,,HEPG2,,,,,CEBPA,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004461,,,,CEBPA_liver_sc9314_hsaHepG2CRI 2,,HEPG2,,,,,CEBPA,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004451,,,,Input_liver_none_hsaHepG2CRI 1,,HEPG2,,,,,input_DNA,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
ERX004453,,,,HNF4a_liver_ARP31046_hsa 1,,HEPG2,,,,,HNF4a,,liver,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEPG2,,,,,,,,,,,,,,,not applicable,,,,,,
SRX1023528,normal immortalized liver cell,,"H3K27me3 (Millipore\\, ChIP grade)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX054458,THP-1 cells,,,GSM700470: LXR ChIP-seq T09 treated,,THP-1,,,,,,,,,,,,,,,T09,,,,,,LXR,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX1116394,SMMC-7721 overexpressing PBX3,,"PBX3 (Abcam ab109173\\, lot/batch number GR-46727-7)",,liver cancer,SMMC-7721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080118,liver carcinoma cells,,,GSM748517: HepG2_FAIRE_REP1,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080119,liver carcinoma cells,,,GSM748518: HepG2_FAIRE_REP2,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080120,liver carcinoma cells,,,GSM748519: HepG2_FAIRE_REP3,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080127,liver carcinoma cells,liver,,GSM748507: HepG2_DNASE_REP1,carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080128,liver carcinoma cells,liver,,GSM748508: HepG2_DNASE_REP2,carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080129,liver carcinoma cells,liver,,GSM748509: HepG2_DNASE_REP3,carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080142,HepG2_CTCF,,,GSM748538: HepG2_CTCF_REP1,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-729,Millipore,
SRX080143,HepG2_CTCF,,,GSM748539: HepG2_CTCF_REP2,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-729,Millipore,
SRX080144,HepG2_cMYC,,,GSM748540: HepG2_cMYC_REP1,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc-764X,Santa Cruz,
SRX080145,HepG2_cMYC,,,GSM748541: HepG2_cMYC_REP2,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc-764X,Santa Cruz,
SRX080146,HepG2_cMYC,,,GSM748542: HepG2_cMYC_REP3,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc-764X,Santa Cruz,
SRX080147,HepG2_PolII,,,GSM748543: HepG2_PolII_REP1,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMS-126R,Covance,
SRX080148,HepG2_PolII,,,GSM748544: HepG2_PolII_REP2,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMS-126R,Covance,
SRX080149,HepG2_PolII,,,GSM748545: HepG2_PolII_REP3,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMS-126R,Covance,
SRX080150,HepG2_INPUT,,,GSM748546: HepG2_INPUT,liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080346,HepG2,,,GSM749683: Stam_HepG2_CTCF_2,,,,,,,,,,,,,,,,,,,,,,,CTCF,,,2,,,,,,liver carcinoma,,,,,,,,ignore,,,,,,,,endoderm,M,,,,cancer,,,,,Human,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080378,HepG2,,,GSM749715: Stam_HepG2_CTCF_1,,,,,,,,,,,,,,,,,,,,,,,CTCF,,,1,,,,,,liver carcinoma,,,,,,,,ignore,,,,,,,,endoderm,M,,,,cancer,,,,,Human,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX080419,HepG2,,,GSM749756: Stam_HepG2_Input_1,,,,,,,,,,,,,,,,,,,,,,,Input,,,1,,,,,,liver carcinoma,,,,,,,,ignore,,,,,,,,endoderm,M,,,,cancer,,,,,Human,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX100433,GM12878,,,GSM803388: HudsonAlpha_ChipSeq_GM12878_BCL11A_PCR1x,,,,,,,,,,,,,,,,,None,,,,,,,,,"1,1\\,2",,,,,,"B-lymphocyte\\, lymphoblastoid\\, International HapMap Project - CEPH/Utah - European Caucasion\\, Epstein-Barr Virus",,"SL516\\,SL517,SL516",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Mouse monoclonal [18B12DE6] to Ctip1. Raised against a cocktail of BCL11A fusion proteins. Reacts with human and mouse. Tested for ICC/IF\\, IHC-P\\, IP\\, WB. Antibody Target: BCL11A","This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. Functions as a myeloid and B-cell proto-oncogene. May play important roles in leukemogenesis and hematopoiesis. An essential factor in lymphopoiesis\\,i...","ab19489,ab19489","Abcam,abcam","SL976\\,SL650,SL650","one 15-cycle round of PCR (Myers),1-cycle of PCR (Myers)",PCR1x,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100433,GM12878,,,GSM803388: HudsonAlpha_ChipSeq_GM12878_BCL11A_PCR1x,,,,,,,,,,,,,,,,,None,,,,,,,,,"1,1\\,2",,,,,,"B-lymphocyte\\, lymphoblastoid\\, International HapMap Project - CEPH/Utah - European Caucasion\\, Epstein-Barr Virus",,"SL516\\,SL517,SL516",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Mouse monoclonal [18B12DE6] to Ctip1. Raised against a cocktail of BCL11A fusion proteins. Reacts with human and mouse. Tested for ICC/IF\\, IHC-P\\, IP\\, WB. Antibody Target: BCL11A","This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. Functions as a myeloid and B-cell proto-oncogene. May play important roles in leukemogenesis and hematopoiesis. An essential factor in lymphopoiesis\\,i...","ab19489,ab19489","Abcam,abcam","SL976\\,SL650,SL650","one 15-cycle round of PCR (Myers),1-cycle of PCR (Myers)",PCR1x,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100441,H1-hESC,,,GSM803396: HudsonAlpha_ChipSeq_H1-hESC_BCL11A_PCR1x,,,,,,,,,,,,,,,,,None,,,,,,BCL11A,,,1,,,,,,,,"SL1398,SL1398",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Mouse monoclonal [18B12DE6] to Ctip1. Raised against a cocktail of BCL11A fusion proteins. Reacts with human and mouse. Tested for ICC/IF\\, IHC-P\\, IP\\, WB,Mouse monoclonal [18B12DE6] to Ctip1. Raised against a cocktail of BCL11A fusion proteins. Reacts with human and mouse. Tested for ICC/IF\\, IHC-P\\, IP\\, WB. Antibody Target: BCL11A","This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. Functions as a myeloid and B-cell proto-oncogene. May play important roles in leukemogenesis and hematopoiesis. An essential factor in lymphopoiesis\\,i...,This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. Functions as a myeloid and B-cell proto-oncogene. May play important roles in leukemogenesis and hematopoiesis. An essential factor in lymphopoiesis\\,i...","ab19489,ab19489","abcam,Abcam","SL1314,SL1314","1-cycle of PCR (Myers),one 15-cycle round of PCR (Myers)",PCR1x,,M,tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX100454,T-47D,,,GSM803409: HudsonAlpha_ChipSeq_T-47D_FOXA1_(SC-6553)_DMSO_0.02pct_v041610.2,,,,,,,,,,,,,,,,,DMSO_0.02pct,,,,,,,,,"1,1\\,2",,,,,,epithelial cell line derived from a mammary ductal carcinoma.,,"SL1881,SL1881",Chromatin IP Sequencing,ChipSeq,"1 h with 0.02% DMSO (Myers),1 h with 0.02% Dimethyl sufloxide (DMSO) (Myers)",,,,"Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1","This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-6553,sc-6553","Santa Cruz Biotech,Santa Cruz Biotechnology","SL2081\\,SL1878,SL1878","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100454,T-47D,,,GSM803409: HudsonAlpha_ChipSeq_T-47D_FOXA1_(SC-6553)_DMSO_0.02pct_v041610.2,,,,,,,,,,,,,,,,,DMSO_0.02pct,,,,,,,,,"1,1\\,2",,,,,,epithelial cell line derived from a mammary ductal carcinoma.,,"SL1881,SL1881",Chromatin IP Sequencing,ChipSeq,"1 h with 0.02% DMSO (Myers),1 h with 0.02% Dimethyl sufloxide (DMSO) (Myers)",,,,"Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1","This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-6553,sc-6553","Santa Cruz Biotech,Santa Cruz Biotechnology","SL2081\\,SL1878,SL1878","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100477,HepG2,,,GSM803432: HudsonAlpha_ChipSeq_HepG2_FOXA1_(SC-101058)_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,,,,"1,1\\,2",,,,,,hepatocellular carcinoma,,"SL1400\\,SL1781,SL1400",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin. Antibody Target: FOXA1,Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin.","This gene encodes a member of the forkhead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...,This gene encodes a member of the forkhead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-101058,sc-101058","Santa Cruz Biotech,Santa Cruz Biotechnology","SL1788,SL2194\\,SL1788","2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100477,HepG2,,,GSM803432: HudsonAlpha_ChipSeq_HepG2_FOXA1_(SC-101058)_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,,,,"1,1\\,2",,,,,,hepatocellular carcinoma,,"SL1400\\,SL1781,SL1400",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin. Antibody Target: FOXA1,Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin.","This gene encodes a member of the forkhead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...,This gene encodes a member of the forkhead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-101058,sc-101058","Santa Cruz Biotech,Santa Cruz Biotechnology","SL1788,SL2194\\,SL1788","2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100489,ECC-1,,,GSM803444: HudsonAlpha_ChipSeq_ECC-1_FOXA1_(SC-6553)_DMSO_0.02pct_v041610.2,,,,,,,,,,,,,,,,,DMSO_0.02pct,,,,,,,,,"1,1\\,2",,,,,,"epithelial cell line derived from an endometrium adenocarcinoma\\, fetal membranes were collected from women who underwent planned cesarean delivery at term\\, before labor and without rupture of membranes",,"SL1882,SL1882",Chromatin IP Sequencing,ChipSeq,"1 h with 0.02% Dimethyl sufloxide (DMSO) (Myers),1 h with 0.02% DMSO (Myers)",,,,"Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1","This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-6553,sc-6553","Santa Cruz Biotech,Santa Cruz Biotechnology","SL2080\\,SL1880,SL1880","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,endoderm,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100489,ECC-1,,,GSM803444: HudsonAlpha_ChipSeq_ECC-1_FOXA1_(SC-6553)_DMSO_0.02pct_v041610.2,,,,,,,,,,,,,,,,,DMSO_0.02pct,,,,,,,,,"1,1\\,2",,,,,,"epithelial cell line derived from an endometrium adenocarcinoma\\, fetal membranes were collected from women who underwent planned cesarean delivery at term\\, before labor and without rupture of membranes",,"SL1882,SL1882",Chromatin IP Sequencing,ChipSeq,"1 h with 0.02% Dimethyl sufloxide (DMSO) (Myers),1 h with 0.02% DMSO (Myers)",,,,"Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1","This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-6553,sc-6553","Santa Cruz Biotech,Santa Cruz Biotechnology","SL2080\\,SL1880,SL1880","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,endoderm,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100493,HepG2,,,GSM803448: HudsonAlpha_ChipSeq_HepG2_HEY1_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,HEY1,,,1,,,,,,liver carcinoma,,SL593,ChIP-Seq,ChipSeq,No special treatment or protocol applies,,,,"HRT1 (C-20) Goat polyclonal IgG\\, 200 ?g/ml. Epitope mapping near the C-terminus of HRT1 of human origin",This gene encodes a nuclear protein belonging to the hairy and enhancer of split-related (HESR) family of basic helix-loop-helix (bHLH)-type transcriptional repressors. Expression of this gene is induced by the Notch and c-Jun signal transduction pathw...,sc-16424,Santa Cruz Biotech,SL1057,"2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,endoderm,M,tier 1,,,cancer,,,,,human,HepG2,,,,,,,,,,,,,,,,,Myers - Hudson Alpha Institute for Biotechnology,,,,,,,,,
SRX100493,HepG2,,,GSM803448: HudsonAlpha_ChipSeq_HepG2_HEY1_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,HEY1,,,1,,,,,,liver carcinoma,,SL593,ChIP-Seq,ChipSeq,No special treatment or protocol applies,,,,"HRT1 (C-20) Goat polyclonal IgG\\, 200 ?g/ml. Epitope mapping near the C-terminus of HRT1 of human origin",This gene encodes a nuclear protein belonging to the hairy and enhancer of split-related (HESR) family of basic helix-loop-helix (bHLH)-type transcriptional repressors. Expression of this gene is induced by the Notch and c-Jun signal transduction pathw...,sc-16424,Santa Cruz Biotech,SL1057,"2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,endoderm,M,tier 1,,,cancer,,,,,human,HepG2,,,,,,,,,,,,,,,,,Myers - Hudson Alpha Institute for Biotechnology,,,,,,,,,
SRX100506,HepG2,,,GSM803461: HudsonAlpha_ChipSeq_HepG2_FOXA1_(SC-6553)_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,,,,"1,1\\,2",,,,,,hepatocellular carcinoma,,"SL1400\\,SL1781,SL1400",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin.,Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1","This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...,This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-6553,sc-6553","Santa Cruz Biotech,Santa Cruz Biotechnology","SL1786,SL2124\\,SL1786","2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100506,HepG2,,,GSM803461: HudsonAlpha_ChipSeq_HepG2_FOXA1_(SC-6553)_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,,,,"1,1\\,2",,,,,,hepatocellular carcinoma,,"SL1400\\,SL1781,SL1400",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin.,Goat polyclonal IgG\\, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1","This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...,This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar f...","sc-6553,sc-6553","Santa Cruz Biotech,Santa Cruz Biotechnology","SL1786,SL2124\\,SL1786","2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,,,tier 1,,,,,,,,,,,,,,,,,,,MACS,,,,,,,,,,,,,,,,
SRX100508,HepG2,,,GSM803463: HudsonAlpha_ChipSeq_HepG2_RevXlinkChromatin_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,RevXlinkChromatin,,,"1,1\\,2",,,,,,"liver carcinoma,hepatocellular carcinoma",,"SL3976\\,SL1781,SL1781",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,,,,,"SL3976\\,SL1781,SL1781","2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,endoderm,M,tier 1,,,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX100508,HepG2,,,GSM803463: HudsonAlpha_ChipSeq_HepG2_RevXlinkChromatin_v041610.1,,,,,,,,,,,,,,,,,None,,,,,,RevXlinkChromatin,,,"1,1\\,2",,,,,,"hepatocellular carcinoma,liver carcinoma",,"SL1781,SL3976\\,SL1781",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,,,,,"SL3976\\,SL1781,SL1781","2x10^7 cells\\, fragmentation by bioruptor\\, one 15-cycle round of PCR (Myers)",v041610.1,endoderm,M,tier 1,,,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX100521,H1-hESC,,,GSM803476: HudsonAlpha_ChipSeq_H1-hESC_BCL11A_v041610.2,,,,,,,,,,,,,,,,,None,,,,,,BCL11A,,,2,,,,,,,,"SL1398,SL1398",Chromatin IP Sequencing,ChipSeq,No special treatment or protocol applies,,,,"Mouse monoclonal [18B12DE6] to Ctip1. Raised against a cocktail of BCL11A fusion proteins. Reacts with human and mouse. Tested for ICC/IF\\, IHC-P\\, IP\\, WB. Antibody Target: BCL11A,Mouse monoclonal [18B12DE6] to Ctip1. Raised against a cocktail of BCL11A fusion proteins. Reacts with human and mouse. Tested for ICC/IF\\, IHC-P\\, IP\\, WB","This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. Functions as a myeloid and B-cell proto-oncogene. May play important roles in leukemogenesis and hematopoiesis. An essential factor in lymphopoiesis\\,i...,This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. Functions as a myeloid and B-cell proto-oncogene. May play important roles in leukemogenesis and hematopoiesis. An essential factor in lymphopoiesis\\,i...","ab19489,ab19489","Abcam,abcam","SL3989,SL3989","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,inner cell mass,M,tier 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX1089809,Fetal hematopoietic stem/progenitor cells (HSPCs),Fetal HSPCs (F0),H3K4me1,,primary fetal liver CD34+ HSPCs (F0),,,,,,,,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX1089810,Fetal erythroid progenitor cells (ProEs),Fetal ProEs (F5),H3K4me1,,primary fetal liver ProEs (F5),,,,,,,,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX1089813,Fetal hematopoietic stem/progenitor cells (HSPCs),Fetal HSPCs (F0),H3K4me3,,primary fetal liver CD34+ HSPCs (F0),,,,,,,,,,,,,,,,,,,,,,,,Millipore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX1089814,Fetal erythroid progenitor cells (ProEs),Fetal ProEs (F5),H3K4me3,,primary fetal liver ProEs (F5),,,,,,,,,,,,,,,,,,,,,,,,Millipore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
